0.00000,0.63000,0.63000,-0.34812,0.25106
0.00152,0.63000,0.63000,-0.34683,0.25097
0.00303,0.63000,0.63000,-0.34553,0.25087
0.00455,0.62999,0.62999,-0.34423,0.25078
0.00606,0.62999,0.62999,-0.34293,0.25068
0.00758,0.62998,0.62998,-0.34163,0.25059
0.00909,0.62997,0.62997,-0.34033,0.25049
0.01061,0.62996,0.62996,-0.33902,0.25039
0.01212,0.62995,0.62995,-0.33772,0.25030
0.01364,0.62993,0.62993,-0.33641,0.25020
0.01515,0.62992,0.62992,-0.33511,0.25011
0.01667,0.62990,0.62990,-0.33380,0.25001
0.01818,0.62988,0.62988,-0.33249,0.24991
0.01970,0.62986,0.62986,-0.33118,0.24982
0.02121,0.62984,0.62984,-0.32987,0.24972
0.02273,0.62982,0.62982,-0.32855,0.24962
0.02424,0.62979,0.62979,-0.32724,0.24953
0.02576,0.62977,0.62977,-0.32592,0.24943
0.02727,0.62974,0.62974,-0.32461,0.24933
0.02879,0.62971,0.62971,-0.32329,0.24923
0.03030,0.62968,0.62968,-0.32197,0.24914
0.03182,0.62965,0.62965,-0.32065,0.24904
0.03333,0.62961,0.62961,-0.31933,0.24894
0.03485,0.62958,0.62958,-0.31801,0.24884
0.03636,0.62954,0.62954,-0.31668,0.24874
0.03788,0.62950,0.62950,-0.31536,0.24865
0.03939,0.62946,0.62946,-0.31403,0.24855
0.04091,0.62942,0.62942,-0.31271,0.24845
0.04242,0.62938,0.62938,-0.31138,0.24835
0.04394,0.62933,0.62933,-0.31005,0.24825
0.04545,0.62928,0.62928,-0.30872,0.24815
0.04697,0.62924,0.62924,-0.30739,0.24805
0.04848,0.62919,0.62919,-0.30605,0.24795
0.05000,0.62914,0.62914,-0.30472,0.24786
0.05152,0.62908,0.62908,-0.30339,0.24776
0.05303,0.62903,0.62903,-0.30205,0.24766
0.05455,0.62897,0.62897,-0.30071,0.24756
0.05606,0.62892,0.62892,-0.29937,0.24746
0.05758,0.62886,0.62886,-0.29804,0.24736
0.05909,0.62880,0.62880,-0.29669,0.24726
0.06061,0.62874,0.62874,-0.29535,0.24716
0.06212,0.62868,0.62868,-0.29401,0.24706
0.06364,0.62861,0.62861,-0.29267,0.24696
0.06515,0.62855,0.62855,-0.29132,0.24686
0.06667,0.62848,0.62848,-0.28998,0.24676
0.06818,0.62841,0.62841,-0.28863,0.24666
0.06970,0.62834,0.62834,-0.28728,0.24656
0.07121,0.62827,0.62827,-0.28593,0.24646
0.07273,0.62820,0.62820,-0.28458,0.24636
0.07424,0.62813,0.62813,-0.28323,0.24626
0.07576,0.62805,0.62805,-0.28188,0.24616
0.07727,0.62798,0.62798,-0.28053,0.24606
0.07879,0.62790,0.62790,-0.27917,0.24596
0.08030,0.62782,0.62782,-0.27782,0.24586
0.08182,0.62774,0.62774,-0.27646,0.24576
0.08333,0.62766,0.62766,-0.27510,0.24566
0.08485,0.62758,0.62758,-0.27374,0.24555
0.08636,0.62749,0.62749,-0.27238,0.24545
0.08788,0.62741,0.62741,-0.27102,0.24535
0.08939,0.62732,0.62732,-0.26966,0.24525
0.09091,0.62724,0.62724,-0.26830,0.24515
0.09242,0.62715,0.62715,-0.26693,0.24505
0.09394,0.62706,0.62706,-0.26557,0.24495
0.09545,0.62697,0.62697,-0.26420,0.24485
0.09697,0.62688,0.62688,-0.26284,0.24475
0.09848,0.62679,0.62679,-0.26147,0.24465
0.10000,0.62669,0.62669,-0.26010,0.24455
0.10152,0.62660,0.62660,-0.25873,0.24445
0.10303,0.62650,0.62650,-0.25736,0.24435
0.10455,0.62640,0.62640,-0.25599,0.24425
0.10606,0.62631,0.62631,-0.25462,0.24415
0.10758,0.62621,0.62621,-0.25324,0.24405
0.10909,0.62611,0.62611,-0.25187,0.24395
0.11061,0.62601,0.62601,-0.25049,0.24385
0.11212,0.62590,0.62590,-0.24911,0.24375
0.11364,0.62580,0.62580,-0.24774,0.24365
0.11515,0.62570,0.62570,-0.24636,0.24355
0.11667,0.62559,0.62559,-0.24498,0.24345
0.11818,0.62549,0.62549,-0.24360,0.24335
0.11970,0.62538,0.62538,-0.24222,0.24326
0.12121,0.62527,0.62527,-0.24083,0.24316
0.12273,0.62516,0.62516,-0.23945,0.24306
0.12424,0.62505,0.62505,-0.23807,0.24296
0.12576,0.62494,0.62494,-0.23668,0.24286
0.12727,0.62483,0.62483,-0.23530,0.24276
0.12879,0.62472,0.62472,-0.23391,0.24266
0.13030,0.62461,0.62461,-0.23252,0.24257
0.13182,0.62450,0.62450,-0.23113,0.24247
0.13333,0.62438,0.62438,-0.22974,0.24237
0.13485,0.62427,0.62427,-0.22835,0.24227
0.13636,0.62415,0.62415,-0.22696,0.24217
0.13788,0.62404,0.62404,-0.22557,0.24208
0.13939,0.62392,0.62392,-0.22417,0.24198
